District,SIDN,School,INDEX
ABBEVILLE,160001,ABBEVILLE HIGH,68.7
ABBEVILLE,160003,DIXIE HIGH,51.5
AIKEN,201001,SILVER BLUFF HIGH,66.9
AIKEN,201002,AIKEN HIGH,62.8
AIKEN,201003,SOUTH AIKEN HIGH,49.2
AIKEN,201006,MIDLAND VALLEY HIGH,65.5
AIKEN,201012,NORTH AUGUSTA HIGH,48.9
AIKEN,201015,WAGENER-SALLY HIGH,78.9
AIKEN,201061,AIKEN SCHOLARS ACADEMY,29.8
AIKEN,201068,RIDGE SPRING-MONETTA MIDDLE/ HIGH,83.2
ALLENDALE,301001,ALLENDALE FAIRFAX HIGH,91.1
ANDERSON 1,401001,PALMETTO HIGH,60.3
ANDERSON 1,401002,POWDERSVILLE HIGH,41.2
ANDERSON 1,401003,WREN HIGH,36.3
ANDERSON 2,402012,BELTON HONEA PATH HIGH,58.1
ANDERSON 3,403022,CRESCENT HIGH,65.6
ANDERSON 4,404027,PENDLETON HIGH,53.1
ANDERSON 5,405038,T. L. HANNA HIGH,46.2
ANDERSON 5,405048,WESTSIDE HIGH,75.1
ANDERSON 5,405601,ANDERSON  FIVE CHARTER SCHOOL,65.3
BAMBERG 3,503001,BAMBERG-EHRHARDT HIGH,75.0
BAMBERG 3,503007,DENMARK OLAR HIGH,93.6
BARNWELL 45,645009,BARNWELL HIGH,75.5
BARNWELL 48,648001,BLACKVILLE-HILDA HIGH,87.1
BARNWELL 48,648006,WILLISTON-ELKO HIGH,69.5
BEAUFORT,701002,BEAUFORT HIGH,59.1
BEAUFORT,701003,HILTON HEAD ISLAND HIGH,52.7
BEAUFORT,701004,BATTERY CREEK HIGH,68.3
BEAUFORT,701030,BLUFFTON HIGH,48.5
BEAUFORT,701036,WHALE BRANCH EARLY COLLEGE HIGH,75.6
BEAUFORT,701039,MAY RIVER HIGH,41.8
BERKELEY,801001,STRATFORD HIGH,61.2
BERKELEY,801002,BERKELEY HIGH,59.1
BERKELEY,801006,CROSS HIGH,83.8
BERKELEY,801007,GOOSE CREEK HIGH,62.9
BERKELEY,801008,HANAHAN HIGH,45.8
BERKELEY,801043,TIMBERLAND HIGH,72.0
BERKELEY,801049,CANE BAY HIGH,41.5
BERKELEY,801051,BERKELEY COUNTY MIDDLE COLLEGE HIGH,32.7
BERKELEY,801056,PHILIP SIMMONS HIGH,31.8
CALHOUN,901001,CALHOUN COUNTY HIGH,79.1
CHARLESTON,1001001,BAPTIST HILL HIGH,90.8
CHARLESTON,1001002,NORTH CHARLESTON HIGH,88.2
CHARLESTON,1001010,BURKE HIGH,93.0
CHARLESTON,1001014,WANDO HIGH,18.2
CHARLESTON,1001018,MILITARY MAGNET ACADEMY,88.1
CHARLESTON,1001020,ST. JOHNS HIGH,79.2
CHARLESTON,1001022,RB STALL HIGH,78.3
CHARLESTON,1001098,CHARLESTON SCHOOL OF THE ARTS,22.7
CHARLESTON,1001099,ACADEMIC MAGNET HIGH,12.6
CHARLESTON,1001104,WEST ASHLEY HIGH,55.1
CHARLESTON,1001121,LUCY GARRETT BECKHAM HIGH,20.1
CHARLESTON,1001615,GREG MATHIS CHARTER HIGH,98.4
CHARLESTON,1001616,JAMES ISLAND CHARTER HIGH,36.6
CHARLESTON,1001620,CHARLESTON CHARTER SCHOOL FOR MATH AND SCIENCE,56.9
CHARLESTON,1001628,PATTISON'S ACADEMY FOR COMPREHENSIVE EDUCATION,90.7
CHARLESTON,1001630,ALLEGRO CHARTER SCHOOL OF MUSIC,69.3
CHEROKEE,1101001,BLACKSBURG HIGH,67.7
CHEROKEE,1101003,GAFFNEY HIGH,70.0
CHESTER,1201002,CHESTER SENIOR HIGH,78.7
CHESTER,1201005,GREAT FALLS HIGH,83.3
CHESTER,1201006,LEWISVILLE HIGH,64.8
CHESTERFIELD,1301001,CHERAW HIGH,77.6
CHESTERFIELD,1301002,CHESTERFIELD HIGH,59.9
CHESTERFIELD,1301006,MCBEE HIGH,67.9
CHESTERFIELD,1301007,CENTRAL HIGH,72.0
CLARENDON 6,1406001,SCOTT'S BRANCH HIGH,89.3
CLARENDON 6,1406002,EAST CLARENDON MIDDLE-HIGH,64.6
CLARENDON 6,1406007,MANNING HIGH,83.2
COLLETON,1501005,COLLETON COUNTY HIGH,79.9
DARLINGTON,1601005,HARTSVILLE HIGH,70.4
DARLINGTON,1601006,LAMAR HIGH,74.5
DARLINGTON,1601030,DARLINGTON HIGH,83.8
DARLINGTON,1601033,"MAYO HIGH FOR MATH, SCIENCE, & TECHNOLOGY",42.6
DILLON 3,1703019,LATTA HIGH,61.5
DILLON 4,1704002,LAKE VIEW HIGH,85.1
DILLON 4,1704005,DILLON HIGH,95.1
DORCHESTER 2,1802006,SUMMERVILLE HIGH,51.0
DORCHESTER 2,1802020,FORT DORCHESTER HIGH,55.8
DORCHESTER 2,1802027,ASHLEY RIDGE HIGH,44.0
DORCHESTER 4,1804019,WOODLAND HIGH,73.3
EDGEFIELD,1901002,STROM THURMOND HIGH,59.9
FAIRFIELD,2001013,FAIRFIELD CENTRAL HIGH,79.3
FLORENCE 1,2101004,SOUTH FLORENCE HIGH,66.1
FLORENCE 1,2101006,WILSON HIGH,77.5
FLORENCE 1,2101014,WEST FLORENCE HIGH,57.7
FLORENCE 2,2102024,HANNAH PAMPLICO HIGH,62.2
FLORENCE 3,2103029,LAKE CITY HIGH,88.4
FLORENCE 3,2103054,J. PAUL TRULUCK CREATIVE ARTS AND SCIENCE MAGNET,79.9
FLORENCE 5,2105045,JOHNSONVILLE HIGH,67.7
GEORGETOWN,2201001,ANDREWS HIGH,75.3
GEORGETOWN,2201004,GEORGETOWN HIGH,73.2
GEORGETOWN,2201025,WACCAMAW HIGH,37.4
GEORGETOWN,2201026,CARVERS BAY HIGH,79.3
GREENVILLE,2301002,BEREA HIGH,82.7
GREENVILLE,2301003,BLUE RIDGE HIGH,44.5
GREENVILLE,2301005,CAROLINA ACADEMY (HIGH),88.3
GREENVILLE,2301006,EASTSIDE HIGH,42.1
GREENVILLE,2301008,GREENVILLE SENIOR HIGH ACADEMY,53.9
GREENVILLE,2301009,GREER HIGH,67.0
GREENVILLE,2301010,WADE HAMPTON HIGH,49.5
GREENVILLE,2301012,HILLCREST HIGH,46.1
GREENVILLE,2301013,J. L. MANN HIGH ACADEMY,40.8
GREENVILLE,2301014,MAULDIN HIGH,36.0
GREENVILLE,2301017,RIVERSIDE HIGH,30.8
GREENVILLE,2301018,SOUTHSIDE HIGH,78.6
GREENVILLE,2301020,TRAVELERS REST HIGH,58.6
GREENVILLE,2301023,WOODMONT HIGH,54.0
GREENVILLE,2301122,FOUNTAIN INN HIGH,51.9
GREENVILLE,2301902,WASHINGTON CENTER,96.1
